cust_id,gender,age,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,Contract,MonthlyCharges,TotalCharges,Churn
6467,Male,46,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,99.35,4749.15,Yes
8665,Male,61,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,30.2,30.2,Yes
5248,Male,34,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,90.25,6369.45,No
8773,Female,23,17,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,64.7,1093.1,Yes
3841,Female,18,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,96.35,6766.95,No
4929,Male,33,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,95.5,181.65,No
6827,Female,27,27,Yes,No,DSL,Yes,Yes,Yes,No,No,One year,66.15,1874.45,No
7310,Male,35,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,No
3413,Male,39,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,45.25,45.25,No
6234,Female,68,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,99.9,7251.7,No
6047,Male,70,5,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,69.7,316.9,Yes
6572,Female,67,46,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,74.8,3548.3,No
5380,Male,27,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,106.35,3549.25,Yes
8168,Female,52,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,97.85,1105.4,Yes
8865,Male,18,10,Yes,No,DSL,No,Yes,No,No,No,One year,49.55,475.7,No
9489,Female,44,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Two year,69.2,4872.35,No
9867,Female,49,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.75,418.25,No
4671,Female,30,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Two year,79.85,4861.45,No
4080,Female,21,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Month-to-month,76.2,981.45,No
3714,Female,18,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,84.5,3906.7,No
5948,Male,36,2,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,49.25,97,No
7760,Female,22,2,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,80.65,144.15,Yes
7639,Male,65,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Two year,79.75,4217.8,No
2954,Female,67,69,Yes,Yes,DSL,Yes,No,Yes,No,No,Two year,64.15,4254.1,No
8012,Female,46,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,90.25,3838.75,No
9420,Female,40,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,99.1,1426.4,Yes
6575,Female,33,25,Yes,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,69.5,1752.65,No
7495,Female,43,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,80.65,633.3,Yes
4667,Female,69,60,Yes,No,DSL,Yes,Yes,Yes,No,Yes,One year,74.85,4456.35,No
1658,Male,40,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,95.45,1752.55,Yes
8769,Female,23,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,99.65,6311.2,No
5067,Male,18,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,108.45,7076.35,No
3957,Female,49,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.95,894.3,No
5954,Female,69,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Two year,107.5,7853.7,No
434,Female,67,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,100.5,4707.1,No
1215,Male,41,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,89.9,5450.7,No
526,Male,48,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,Two year,42.1,2962,No
557,Female,19,18,Yes,No,DSL,No,No,Yes,No,No,One year,54.4,957.1,No
5698,Female,21,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,94.4,857.25,Yes
5122,Female,52,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Month-to-month,75.3,244.1,No
8627,Male,42,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,One year,78.9,3650.35,No
3410,Female,21,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,79.2,2497.2,No
3170,Female,55,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,930.9,No
7410,Male,43,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,79.85,887.35,No
2273,Male,65,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,49.05,49.05,No
731,Female,22,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.4,1090.65,No
1891,Male,51,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,111.6,7099,No
8028,Male,17,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.25,1424.6,No
5630,Female,45,3,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,64.5,177.4,No
2673,Female,25,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,110.5,6139.5,No
6416,Female,27,46,Yes,No,DSL,No,No,No,No,Yes,One year,55.65,2688.85,No
5590,Female,41,8,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,54.65,482.25,No
191,Male,70,30,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,74.75,2111.3,No
3887,Female,49,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,25.9,1216.6,No
5919,Female,47,1,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,79.35,79.35,Yes
8108,Female,62,11,No,No phone service,DSL,Yes,No,No,Yes,Yes,Month-to-month,50.55,565.35,No
9191,Female,61,7,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,75.15,496.9,Yes
9919,Female,20,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,103.8,4327.5,No
318,Female,54,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.15,973.35,No
4445,Male,44,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,99.3,918.75,No
4808,Female,70,35,Yes,No,DSL,Yes,No,No,Yes,No,One year,62.15,2215.45,No
1862,Female,39,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.65,1057,No
2796,Female,33,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.95,927.1,No
3016,Male,69,29,No,No phone service,DSL,No,No,No,Yes,No,Month-to-month,33.75,1009.25,No
4767,Male,48,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,82.05,2570.2,No
2424,Male,30,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,74.7,74.7,No
7233,Male,64,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Two year,84,5714.25,No
6067,Female,22,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,111.05,7107,No
9848,Male,41,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,100.9,7459.05,No
8637,Female,19,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,78.95,927.35,Yes
9803,Male,35,71,Yes,Yes,DSL,Yes,Yes,No,No,No,One year,66.85,4748.7,No
278,Male,69,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,21.05,113.85,Yes
3212,Male,60,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,21,1107.2,No
4598,Female,36,25,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,98.5,2514.5,Yes
6380,Male,20,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.2,20.2,No
3679,Female,59,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.45,19.45,No
7123,Male,43,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,One year,95,3605.6,No
5386,Female,49,66,No,No phone service,DSL,No,Yes,Yes,Yes,No,One year,45.55,3027.25,No
3192,Male,68,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,110,7611.85,Yes
6180,Male,70,5,No,No phone service,DSL,No,No,No,No,No,Month-to-month,24.3,100.2,No
6728,Female,18,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,One year,104.15,7303.05,No
9750,Female,24,32,No,No phone service,DSL,Yes,No,No,No,No,One year,30.15,927.65,No
8597,Male,24,43,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,One year,94.35,3921.3,No
2848,Male,46,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.4,1363.25,No
486,Male,28,55,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,96.75,5238.9,Yes
4549,Female,35,52,Yes,No,DSL,Yes,No,Yes,No,No,One year,57.95,3042.25,No
5712,Female,53,43,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,91.65,3954.1,No
4846,Female,32,37,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,76.5,2868.15,Yes
5256,Female,63,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Two year,54.6,3423.5,No
3071,Male,17,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,89.85,248.4,No
9560,Female,22,36,No,No phone service,DSL,Yes,No,No,No,No,Two year,31.05,1126.35,No
5299,Female,25,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,100.25,1064.65,Yes
8402,Female,44,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.65,835.15,No
9445,Male,60,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,85.2,2151.6,No
1091,Female,55,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,99.8,5515.45,No
2928,Female,19,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.7,112.75,No
404,Male,43,3,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,74.4,229.55,Yes
6497,Female,49,7,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,50.7,350.35,No
7219,Female,61,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.85,62.9,No
4622,Male,51,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,Two year,88.95,3027.65,No
4412,Female,55,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,78.05,2135.5,Yes
6734,Male,54,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.55,1723.95,No
3930,Male,63,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.75,19.75,No
2639,Male,60,71,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,One year,56.45,3985.35,No
2876,Female,54,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,85.95,1215.65,No
6207,Female,53,25,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,58.6,1502.65,Yes
8587,Male,68,67,Yes,No,DSL,No,No,No,No,No,Two year,50.55,3260.1,No
3091,Male,41,1,No,No phone service,DSL,No,No,No,No,Yes,Month-to-month,35.45,35.45,Yes
2372,Male,34,2,Yes,No,DSL,No,No,No,No,No,Month-to-month,44.35,81.25,Yes
7799,Female,32,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.7,1188.2,No
7850,Female,52,23,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,75,1778.5,No
3774,Female,48,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.2,1277.75,No
6217,Male,49,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.6,1170.55,No
390,Female,70,1,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,70.45,70.45,Yes
3146,Female,30,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,88.05,6425.65,No
4080,Female,45,8,Yes,Yes,DSL,Yes,No,No,No,Yes,Month-to-month,71.15,563.65,Yes
1095,Female,30,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Two year,101.05,5971.25,No
2636,Male,70,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,One year,84.3,5289.05,No
1131,Male,22,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,23.95,1756.2,No
5716,Female,35,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,99.05,6416.7,No
6837,Male,56,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.6,61.35,No
2135,Male,52,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,45.65,45.65,Yes
6440,Male,42,30,Yes,No,DSL,No,Yes,Yes,Yes,No,One year,64.5,1929.95,No
3466,Male,33,15,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,69.5,1071.4,No
3780,Female,17,8,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,68.55,564.35,No
3874,Male,34,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,95,655.5,Yes
1679,Female,49,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,108.15,7930.55,No
9073,Male,69,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,86.1,5215.25,No
3077,Female,26,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,19.7,113.5,No
6551,Female,67,14,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,80.9,1152.8,No
9167,Female,69,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,84.15,1821.95,No
2749,Male,42,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.15,419.9,No
6371,Male,69,16,Yes,No,DSL,Yes,No,Yes,Yes,No,Two year,64.25,1024,No
7554,Male,26,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,25.7,251.6,No
8992,Female,55,13,Yes,No,DSL,Yes,Yes,No,No,No,Month-to-month,56,764.55,No
867,Female,52,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,82.4,1592.35,Yes
4482,Female,35,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,69.7,135.2,No
4648,Male,39,53,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Two year,73.9,3958.25,No
2907,Female,36,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.6,233.9,No
6345,Male,52,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.9,1363.45,No
3376,Female,55,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,70.9,273,Yes
5997,Male,18,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,89.05,6254.45,No
3445,Male,57,58,No,No phone service,DSL,No,Yes,Yes,No,Yes,Month-to-month,45.3,2651.2,Yes
1159,Female,34,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.4,321.4,No
7654,Male,50,43,Yes,No,Fiber optic,Yes,No,Yes,No,No,One year,84.25,3539.25,No
1875,Female,56,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,104.4,242.8,Yes
6727,Male,25,14,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Two year,81.95,1181.75,No
691,Female,33,53,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,One year,94.85,5000.2,Yes
5918,Female,62,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.55,654.55,No
1744,Female,19,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,24.7,780.2,No
2656,Female,35,15,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,74.45,1145.7,Yes
2070,Female,46,7,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,76.45,503.6,Yes
5947,Female,55,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,105.35,1559.25,No
3712,Male,24,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.55,1252,No
6317,Female,69,1,No,No phone service,DSL,No,Yes,No,No,No,Month-to-month,29.95,29.95,Yes
6582,Female,60,1,Yes,No,DSL,No,No,No,No,No,Month-to-month,45.3,45.3,No
9367,Male,35,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,84.5,662.65,Yes
5524,Male,29,33,Yes,No,DSL,Yes,No,Yes,Yes,Yes,One year,74.75,2453.3,No
1918,Female,24,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,79.25,1111.65,Yes
1024,Female,58,1,No,No phone service,DSL,No,No,No,No,No,Month-to-month,24.8,24.8,Yes
4827,Male,52,20,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,51.8,1023.85,No
8167,Male,46,3,No,No phone service,DSL,No,No,No,No,No,Month-to-month,30.4,82.15,No
956,Female,58,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.65,244.8,No
8017,Female,66,40,Yes,Yes,DSL,No,Yes,No,No,No,Month-to-month,56.6,2379.1,No
7100,Male,33,43,Yes,Yes,DSL,Yes,No,No,No,Yes,One year,71.9,3173.35,No
2472,Male,36,6,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,91,531,Yes
2984,Female,33,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,1375.4,No
9680,Female,35,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,109.7,8129.3,No
2146,Male,69,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.3,1192.7,No
2604,Female,38,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,96.55,1901.65,No
9178,Male,53,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.1,587.4,No
6168,Male,43,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,111.35,6519.75,No
7255,Male,36,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,112.25,8041.65,No
3645,Male,64,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,20.75,20.75,No
9323,Female,38,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,One year,101.9,2681.15,No
8544,Female,16,14,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,80.05,1112.3,No
3363,Male,34,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,105.55,7405.5,No
7018,Male,34,13,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,78.3,1033.95,No
9142,Male,42,44,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,68.85,2958.95,No
7674,Female,55,33,Yes,No,Fiber optic,No,Yes,No,No,No,One year,79.95,2684.85,No
6348,Male,49,72,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Two year,55.45,4179.2,No
1285,Male,33,1,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,79.9,79.9,Yes
7825,Female,62,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,106.6,1934.45,Yes
1347,Male,52,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,One year,102.45,6654.1,No
7841,Male,21,2,Yes,No,DSL,No,No,No,No,No,Month-to-month,46,84.5,Yes
4195,Female,22,1,No,No phone service,DSL,No,No,No,No,No,Month-to-month,25.25,25.25,No
7157,Male,70,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,1124.2,No
4709,Female,21,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20,540.05,No
2504,Male,53,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,86.8,1975.85,No
699,Female,17,57,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,58.75,3437.45,No
9286,Male,49,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,Two year,45.25,3139.8,No
230,Male,39,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Two year,56.6,3789.2,No
2040,Male,64,65,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,84.2,5324.5,No
6496,Female,19,8,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,80,624.6,No
9408,Female,65,4,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,70.15,268.35,Yes
4443,Female,62,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,24.75,1836.9,No
6469,Male,51,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,20.2,20.2,No
742,Male,35,4,Yes,No,DSL,No,No,No,No,No,Month-to-month,50.05,179.35,Yes
5961,Female,41,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,19.35,219.35,No
6778,Male,44,24,No,No phone service,DSL,Yes,No,No,Yes,Yes,One year,50.6,1288.75,No
6341,Female,59,31,Yes,No,DSL,Yes,No,Yes,Yes,Yes,One year,81.15,2545.75,No
2232,Female,47,1,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,55.2,55.2,Yes
4811,Male,35,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,89.9,2723.15,No
945,Female,36,47,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two year,85.3,4107.25,No
2651,Male,46,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,108,5760.65,No
3316,Male,56,50,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,93.5,4747.5,No
8937,Male,46,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Month-to-month,84.6,84.6,Yes
7083,Female,32,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,20.25,1566.9,No
1984,Female,39,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,25.15,702,No
1251,Male,18,2,Yes,Yes,DSL,No,Yes,No,No,No,Month-to-month,54.4,114.1,Yes
621,Female,31,10,No,No phone service,DSL,No,No,No,No,No,Two year,29.6,299.05,No
9903,Male,57,18,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,73.15,1305.95,No
94,Female,23,11,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,95,1120.3,Yes
9227,Male,70,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,19.75,284.35,No
7301,Female,38,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,86.6,6350.5,No
6614,Male,59,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,109.2,7878.3,No
7576,Female,66,41,Yes,No,DSL,Yes,No,No,Yes,Yes,One year,74.7,3187.65,No
9058,Female,16,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,94.4,6126.15,No
4522,Female,28,13,Yes,No,DSL,No,Yes,Yes,No,No,Month-to-month,54.8,731.3,No
221,Male,20,4,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,75.35,273.4,No
303,Male,58,41,Yes,Yes,DSL,No,No,Yes,No,Yes,One year,65,2531.8,No
9947,Male,64,15,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,74.4,1074.3,Yes
322,Male,17,1,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,48.55,48.55,Yes
959,Male,58,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,99,4298.45,No
4075,Female,62,51,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,One year,93.5,4619.55,No
4629,Female,34,2,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,70.4,147.15,Yes
9514,Male,20,1,No,No phone service,DSL,No,Yes,No,Yes,No,Month-to-month,40.2,40.2,Yes
